ID,genotype,expression,hmdist,muteffect,shape,intercept,fitness
1,0_0_0_0_0_0_0_0_0_0,0.6144950414114522,3,-0.0283959989507434,"6,0,4",0.3,0.7301465289880165
1,0_0_0_0_0_0_0_0_0_1,0.7340334603842334,2,-0.05754116081431034,"5,0,5",0.3,0.8138234222689633
1,0_0_0_0_0_0_0_0_1_0,0.7068370523362203,2,-0.08112781022953568,"3,0,7",0.3,0.7947859366353542
1,0_0_0_0_0_0_0_0_1_1,0.8396402020022796,1,-0.11454812498096516,"2,0,8",0.3,0.8877481414015957
1,0_0_0_0_0_0_0_1_0_0,0.2985927687874871,4,0.10765348724614618,"10,0,0",0.3,0.509014938151241
1,0_0_0_0_0_0_0_1_0_1,0.30306044433870183,3,0.14458278977658517,"9,0,1",0.3,0.5121423110370913
1,0_0_0_0_0_0_0_1_1_0,0.4686479962951608,3,-0.004925601793470796,"6,0,4",0.3,0.6280535974066126
1,0_0_0_0_0_0_0_1_1_1,0.48638040253965326,2,0.02772854784910605,"7,0,3",0.3,0.6404662817777573
1,0_0_0_0_0_0_1_0_0_0,0.6326684742343406,4,-0.08190719248163345,"2,0,8",0.3,0.7428679319640383
1,0_0_0_0_0_0_1_0_0_1,0.7991586749050563,3,-0.11055781656755817,"1,0,9",0.3,0.8594110724335393
1,0_0_0_0_0_0_1_0_1_0,0.6205342180781385,3,-0.05700124894268972,"5,0,5",0.3,0.7343739526546968
1,0_0_0_0_0_0_1_0_1_1,0.7838792796772784,2,-0.0942816052841562,"4,0,6",0.3,0.8487154957740948
1,0_0_0_0_0_0_1_1_0_0,0.31957490369976543,5,0.0760847900675719,"6,0,4",0.3,0.5237024325898358
1,0_0_0_0_0_0_1_1_0_1,0.525208759369879,4,0.012045352979729695,"6,0,4",0.3,0.6676461315589153
1,0_0_0_0_0_0_1_1_1_0,0.38515386412646874,4,0.041143455845691165,"6,0,4",0.3,0.5696077048885281
1,0_0_0_0_0_0_1_1_1_1,0.5876425807250064,3,-0.03152571349769271,"4,0,6",0.3,0.7113498065075045
1,0_0_0_0_0_1_0_0_0_0,0.5619077761922512,2,0.008272253201686503,"5,0,5",0.3,0.6933354433345758
1,0_0_0_0_0_1_0_0_0_1,0.7009655966419449,1,-0.03318360667377656,"4,0,6",0.3,0.7906759176493614
1,0_0_0_0_0_1_0_0_1_0,0.8476774488570286,1,-0.17126276238326915,"1,0,9",0.3,0.8933742141999199
1,0_0_0_0_0_1_0_0_1_1,1,0,-0.2169937751465943,"0,0,10",0.3,1
1,0_0_0_0_0_1_0_1_0_0,0.37907840129686965,3,0.05992589506389551,"7,0,3",0.3,0.5653548809078087
1,0_0_0_0_0_1_0_1_0_1,0.4030654783249967,2,0.08454449958243856,"7,0,3",0.3,0.5821458348274977
1,0_0_0_0_0_1_0_1_1_0,0.4993819840936125,2,0.008868045304828782,"6,0,4",0.3,0.6495673888655287
1,0_0_0_0_0_1_0_1_1_1,0.5366337918150174,1,0.029211496935509583,"5,0,5",0.3,0.6756436542705121
1,0_0_0_0_0_1_1_0_0_0,0.45610621844306554,3,0.031234004950353427,"5,0,5",0.3,0.6192743529101459
1,0_0_0_0_0_1_1_0_0_1,0.7541206789727805,2,-0.07265652780182914,"3,0,7",0.3,0.8278844752809462
1,0_0_0_0_0_1_1_0_1_0,0.6373996240268727,2,-0.07066325581686617,"2,0,8",0.3,0.7461797368188108
1,0_0_0_0_0_1_1_0_1_1,0.9322689454850116,1,-0.18318352082459022,"1,0,9",0.3,0.9525882618395081
1,0_0_0_0_0_1_1_1_0_0,0.2760855456370737,4,0.10483014316487847,"8,0,2",0.3,0.4932598819459516
1,0_0_0_0_0_1_1_1_0_1,0.6132436611661863,3,-0.03444920258922148,"5,0,5",0.3,0.7292705628163304
1,0_0_0_0_0_1_1_1_1_0,0.2919128613528463,3,0.13141004822354788,"8,0,2",0.3,0.5043390029469924
1,0_0_0_0_0_1_1_1_1_1,0.6259258378103831,2,-0.016499029786093918,"4,0,6",0.3,0.7381480864672681
1,0_0_0_0_1_0_0_0_0_0,0.6262426897471812,4,-0.009217738321007918,"5,0,5",0.3,0.7383698828230267
1,0_0_0_0_1_0_0_0_0_1,0.7811244774773465,3,-0.08536013877285474,"2,0,8",0.3,0.8467871342341424
1,0_0_0_0_1_0_0_0_1_0,0.4570581515029391,3,0.08411337171253379,"6,0,4",0.3,0.6199407060520574
1,0_0_0_0_1_0_0_0_1_1,0.625204669926382,2,0.0036958183728249437,"4,0,6",0.3,0.7376432689484673
1,0_0_0_0_1_0_0_1_0_0,0.3501626385201126,5,0.12325591619064051,"9,0,1",0.3,0.5451138469640788
1,0_0_0_0_1_0_0_1_0_1,0.436220954661541,4,0.07650497868975711,"7,0,3",0.3,0.6053546682630786
1,0_0_0_0_1_0_0_1_1_0,0.3877387792488565,4,0.04479117547093673,"7,0,3",0.3,0.5714171454741995
1,0_0_0_0_1_0_0_1_1_1,0.4870618260835627,3,-0.006234914917808937,"4,0,6",0.3,0.6409432782584938
1,0_0_0_0_1_0_1_0_0_0,0.7146589866469459,5,-0.09180161165732252,"2,0,8",0.3,0.8002612906528621
1,0_0_0_0_1_0_1_0_0_1,0.8483755839827387,4,-0.13124022504459731,"0,0,10",0.3,0.8938629087879171
1,0_0_0_0_1_0_1_0_1_0,0.4409981813217333,4,0.07916725319395558,"8,0,2",0.3,0.6086987269252133
1,0_0_0_0_1_0_1_0_1_1,0.5715696395859504,3,0.03109890755113883,"6,0,4",0.3,0.7000987477101652
1,0_0_0_0_1_0_1_1_0_0,0.5178330109690215,6,0.007812676787444517,"5,0,5",0.3,0.662483107678315
1,0_0_0_0_1_0_1_1_0_1,0.6475941517035931,5,-0.032220644298031655,"4,0,6",0.3,0.7533159061925152
1,0_0_0_0_1_0_1_1_1_0,0.45093288461679504,5,0.006985690885476842,"4,0,6",0.3,0.6156530192317564
1,0_0_0_0_1_0_1_1_1_1,0.5775488862797908,4,-0.041677362455540976,"2,0,8",0.3,0.7042842203958535
1,0_0_0_0_1_1_0_0_0_0,0.6652251056393705,3,-0.02668915618389266,"4,0,6",0.3,0.7656575739475593
1,0_0_0_0_1_1_0_0_0_1,0.6825920622530507,2,-0.016648010716706595,"5,0,5",0.3,0.7778144435771355
1,0_0_0_0_1_1_0_0_1_0,0.6894682291351374,2,-0.0601612504565139,"3,0,7",0.3,0.7826277603945961
1,0_0_0_0_1_1_0_0_1_1,0.7200999164420956,1,-0.054395257877190385,"1,0,9",0.3,0.804069941509467
1,0_0_0_0_1_1_0_1_0_0,0.5222179521408852,4,0.021388653993075574,"6,0,4",0.3,0.6655525664986196
1,0_0_0_0_1_1_0_1_0_1,0.47076143716582863,3,0.060821262411224805,"7,0,3",0.3,0.62953300601608
1,0_0_0_0_1_1_0_1_1_0,0.5100424481586983,3,0.004445152553922005,"5,0,5",0.3,0.6570297137110888
1,0_0_0_0_1_1_0_1_1_1,0.47185066387691954,2,0.03960260808420897,"7,0,3",0.3,0.6302954647138437
1,0_0_0_0_1_1_1_0_0_0,0.611582668852875,4,-0.01767613399724811,"4,0,6",0.3,0.7281078681970126
1,0_0_0_0_1_1_1_0_0_1,0.7625263372031724,3,-0.0680500471189743,"1,0,9",0.3,0.8337684360422206
