intrcpt,expression,muteffect,shape
0.3,0.7622508058988895,-0.13120225213350697,"1,0,9"
0.3,0.5883261274527812,-0.03361421625607203,"5,0,5"
0.3,0.5552186232150385,-0.04485989890302707,"3,0,7"
0.3,0.5765677293791446,-0.07442896946993735,"2,0,8"
0.3,0.6839200703518563,-0.07700344846788275,"5,0,5"
0.3,0.7655838785344435,-0.11344680601412921,"3,0,7"
0.3,0.6437572619561945,-0.014720219949802188,"6,0,4"
0.3,0.6614334612044109,-9.58144729488386e-4,"6,0,4"
0.3,0.46979649842976545,0.05472742071697398,"9,0,1"
0.3,0.7478755577278039,-0.13503769702156226,"2,0,8"
0.3,0.8902977985471324,-0.17153911929675883,"1,0,9"
0.3,0.8156049023091488,-0.10261677602279015,"0,0,10"
0.3,0.6929838793546211,-0.056863789929307386,"4,0,6"
0.3,0.6929381861623009,-0.06020141838251708,"4,0,6"
0.3,0.78786899042090075,-0.1175941981131006,"2,0,8"
0.3,0.7737999531264198,-0.11403142648724651,"1,0,9"
0.3,0.5313495252676717,0.026489526547866654,"6,0,4"
0.3,0.8902977985471324,-0.17153911929675883,"1,0,9"
0.3,0.6797490699727159,-0.09175022063124508,"4,0,6"
0.3,0.6211787140788282,-0.07470928796322589,"2,0,8"
0.3,0.5831287241954531,0.016290932551038705,"4,0,6"
0.3,0.7413079897942585,-0.07276628522508434,"3,0,7"
0.3,0.6437572619561945,-0.014720219949802188,"6,0,4"
0.3,0.809066680196136,-0.1427472425426784,"2,0,8"
0.3,0.4988707108747331,-0.04518999573557209,"5,0,5"
0.3,0.749305744249663,-0.05133330107814861,"4,0,6"
0.3,0.8241790240321469,-0.15200544411727585,"0,0,10"
0.3,0.6499074602459619,-0.060489607483454576,"4,0,6"
0.3,0.5599435296923885,-0.002400279924810339,"3,0,7"
0.3,0.5192552839264917,-0.014330197906543541,"6,0,4"
0.3,0.6827892960753492,-0.08867543454114056,"4,0,6"
0.3,0.5700731602350122,-0.011631964536268464,"5,0,5"
0.3,0.8902977985471324,-0.17153911929675883,"1,0,9"
0.3,0.547298937623792,-0.04752134672498702,"2,0,8"
0.3,0.7400983175370808,-0.15215442856406253,"2,0,8"
0.3,0.8364388902537058,-0.1342441448893608,"3,0,7"
0.3,0.6217467687650002,-0.034878847786500584,"3,0,7"
0.3,0.6038847168361652,-0.06947241060573398,"3,0,7"
0.3,0.6289043813513001,0.007552462123762737,"4,0,6"
0.3,0.6697768511396714,-0.12350859654456033,"2,0,8"
0.3,0.6957157714411245,-0.10760958329870035,"5,0,5"
0.3,0.7518552497696138,-0.12315561940847111,"1,0,9"
0.3,0.7951316329898057,-0.14420463397844577,"0,0,10"
0.3,0.8476774488570286,-0.17126276238326915,"1,0,9"
