intrcpt,expression,muteffect,shape
0.3,0.5799291349671403,-0.10888901238778036,"2,0,8"
0.3,0.5107424715754707,-0.13848619701515347,"1,0,9"
0.3,0.4881533450048026,-0.047421015307643435,"2,0,8"
0.3,0.6711566936699002,-0.05853615380211473,"4,0,6"
0.3,0.6304104408314761,-0.024976740748443492,"4,0,6"
0.3,0.5955235063461947,-0.12169094150832552,"1,0,9"
0.3,0.7451835122074724,-0.2060637845218403,"0,0,10"
0.3,0.844211332890919,-0.19338705598271647,"1,0,9"
0.3,0.5640658391172896,-0.14984953182533775,"0,0,10"
0.3,0.6037081746548679,-0.1310368706563882,"1,0,9"
0.3,0.7942128501654979,-0.25041419243963664,"0,0,10"
0.3,0.7870744878406017,-0.19859424990713478,"0,0,10"
0.3,0.6131883336884872,-0.11351636546799589,"3,0,7"
0.3,0.793188200211841,-0.26584579523542284,"0,0,10"
0.3,0.4881533450048026,-0.047421015307643435,"2,0,8"
0.3,0.6761449359358451,-0.11221731435592308,"1,0,9"
0.3,0.5155231742857026,0.015924930764976412,"5,0,5"
0.3,0.5107424715754707,-0.13848619701515347,"1,0,9"
0.3,0.4031104389057814,0.05584617773757315,"7,0,3"
0.3,0.6413341493684859,-0.1080168433460454,"1,0,9"
0.3,0.39227348806286866,-0.0834214101538485,"3,0,7"
0.3,0.557641755242291,-0.09990990034962383,"3,0,7"
0.3,0.6075653670744601,-0.08221482292380747,"2,0,8"
0.3,0.38584560506736226,-0.09753925596538313,"2,0,8"
0.3,0.50628730946007106,-0.06735017150105285,"3,0,7"
0.3,0.5198070390274113,-0.040241006972225504,"3,0,7"
0.3,0.47006456646621597,-0.12647460959635212,"2,0,8"
0.3,0.7462767620785434,-0.11361762332334496,"2,0,8"
0.3,0.44272730528175935,-0.10950847773241258,"2,0,8"
0.3,0.536977810539419,-0.12664956049931916,"2,0,8"
0.3,0.5077036221628192,-0.10192209719121212,"3,0,7"
0.3,0.5427006453402397,-0.07471340143878585,"3,0,7"
0.3,0.4221784116231381,-0.004945268349090698,"5,0,5"
0.3,0.5951043527386872,-0.013760990416848645,"5,0,5"
0.3,0.7509451449507942,-0.0018492815531859885,"5,0,5"
0.3,0.5271303264385641,-0.05997402631314365,"3,0,7"
0.3,0.6406343473278295,-0.11152933259770499,"2,0,8"
0.3,0.5826464623349962,-0.03173826534035311,"4,0,6"
0.3,0.49701715465769614,-0.07325565714772042,"3,0,7"
0.3,0.6725969616750523,-0.12548430319412163,"0,0,10"
0.3,0.49719673366754424,-0.09145893224938723,"1,0,9"
0.3,0.6750508534026951,-0.18863720183388705,"1,0,9"
0.3,0.580381733574105,-0.11948693469000352,"4,0,6"
0.3,0.6154796439379653,-0.05657678656673006,"4,0,6"
0.3,0.7279283506315455,-0.16338875210954545,"1,0,9"
0.3,0.710323775615997,-0.125857866497254,"2,0,8"
0.3,0.7528170205185437,-0.1232084029663229,"4,0,6"
0.3,0.457041028642566,-0.1063236115571736,"3,0,7"
0.3,0.4313725436199585,-0.10995658681836316,"3,0,7"
0.3,0.5799291349671403,-0.10888901238778036,"2,0,8"
0.3,0.4557477687346229,-0.05954372169137802,"3,0,7"
0.3,0.8690791794206263,-0.16485388397137687,"1,0,9"
0.3,0.7085886422338284,-0.09796413427373976,"2,0,8"
0.3,0.8954353398763386,-0.24239133118484338,"0,0,10"
0.3,0.8664487959668563,-0.2996387896646211,"0,0,10"
0.3,0.5958909456291065,-0.09444674421030212,"2,0,8"
0.3,0.8954353398763386,-0.24239133118484338,"0,0,10"
0.3,0.5077036221628192,-0.10192209719121212,"3,0,7"
0.3,0.7055358989733483,-0.15991372984761099,"2,0,8"
0.3,0.7488199986160213,-0.06523964052993067,"3,0,7"
0.3,0.7443692185051191,-0.13448443741584837,"0,0,10"
0.3,0.32332476563707463,-0.10332784394033216,"1,0,9"
0.3,0.7063460049775472,-0.07738919279236277,"3,0,7"
0.3,0.78195311240055565,-0.2371171274771327,"1,0,9"
0.3,0.5305417676090576,-0.15506781238925682,"2,0,8"
0.3,0.6016056689526905,-0.060831854073951544,"3,0,7"
0.3,0.666711418189625,-0.12119543504899935,"2,0,8"
0.3,0.5994656013920506,-0.0013891582514385993,"5,0,5"
0.3,0.8673869486030783,-0.09449915821677306,"1,0,9"
0.3,0.8779569648667351,-0.2061724675316853,"0,0,10"
0.3,0.5654117593879487,-0.06421988158688866,"2,0,8"
0.3,0.5406267924006378,-0.07505879915157589,"2,0,8"
0.3,0.5678587149993397,-0.08544603591663229,"3,0,7"
0.3,0.40824625690373473,-0.05333535741284309,"1,0,9"
0.3,0.3767816802153853,-0.025252447654283503,"3,0,7"
0.3,0.5453298110384874,-0.10606261222730036,"1,0,9"
0.3,0.840432299655038,-0.25265820297513786,"0,0,10"
